publisher,genres,price,developer,release_date
SOEDESCO Publishing,"['Action', 'Adventure', 'Indie', 'RPG']",9.99,Triangle Studios,2017-06-02
SOEDESCO Publishing,"['Action', 'Adventure', 'Indie', 'RPG']",4.99,Triangle Studios,2017-06-02
"Enigma Games LTD, KISS ltd",['Indie'],7.99,"Colin Wren,Sean Scaplehorn,Wayne Jackson,Jason Mallett",2017-06-02
Dovetail Games - Trains,['Simulation'],19.99,Dovetail Games,2017-06-02
SOEDESCO Publishing,"['Action', 'Adventure', 'Indie', 'RPG']",29.99,Triangle Studios,2017-06-02
DYA Games,"['Action', 'Adventure', 'Indie']",0.99,DYA Games,2017-06-01
KISS ltd,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports', 'Strategy']",3.99,DL Softworks,2017-06-01
Panoramik Inc,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Strategy']",19.99,Panoramik Inc,2017-06-05
KISS ltd,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports', 'Strategy']",2.99,DL Softworks,2017-06-01
Kasedo Games,"['Adventure', 'Indie', 'RPG']",9.99,Soaphog,2017-05-31
Arc System Works,['Action'],18.99,Arc System Works,2017-05-31
Arc System Works,['Action'],0.99,Arc System Works,2017-05-31
Arc System Works,['Action'],0.99,Arc System Works,2017-05-31
Arc System Works,['Action'],0.99,Arc System Works,2017-05-31
Arc System Works,['Action'],2.99,Arc System Works,2017-05-31
Arc System Works,['Action'],2.99,Arc System Works,2017-05-31
K Bros Games,['Action'],2.99,Agar3s,2017-05-31
Indiecode Games,"['Simulation', 'Sports']",Free,Indiecode Games,2017-06-02
Big Fish Games,"['Adventure', 'Casual']",9.99,Eipix Entertainment,2017-05-31
Back To Basics Gaming,"['Action', 'Adventure', 'Indie']",1.99,Dalibor Kamnjanac,2017-05-31
Mode 7,"['Action', 'Adventure', 'Indie']",19.99,SMAC Games,2017-05-31
Archaic Entertainment,"['Action', 'Strategy']",Free,Archaic Entertainment,2010-01-21
"oblomysh, EHTechnology","['Action', 'Adventure', 'Casual']",0.99,"oblomysh,EHTechnology",2017-06-01
rokaplay,['Casual'],6.99,rokaplay,2017-06-01
Dovetail Games - Flight,['Simulation'],16.99,Virtavia,2017-06-01
Sun-Studios,"['Action', 'Indie']",9.99,Sun-Studios,2017-06-01
Rad Codex,"['Indie', 'RPG', 'Strategy']",9.99,Rad Codex,2017-06-01
Dovetail Games - Flight,['Simulation'],16.99,Virtavia,2017-06-01
Piece of Cake studios,"['Action', 'Adventure', 'Indie', 'Early Access']",14.99,Piece of Cake studios,2017-06-01
Dovetail Games - Trains,['Simulation'],19.99,Digital Train Model,2017-06-01
MOKKOGRAD,['Action'],9.99,MOKKOGRAD,2017-06-01
boxmyth,['Indie'],3.99,boxmyth,2017-06-01
Shockk,"['Action', 'Casual', 'Indie', 'Early Access']",4.99,Shockk,2017-06-01
Megastorm Games,"['Action', 'Indie', 'Early Access']",9.99,Megastorm Games,2017-06-01
Choice of Games,"['Adventure', 'Indie', 'RPG']",6.99,Choice of Games,2017-06-01
Quantized Bit,"['Action', 'Indie', 'Early Access']",1.99,Quantized Bit,2017-06-01
CWH Entertainment,"['Action', 'Casual', 'Indie']",1.99,CWH Entertainment,2017-06-01
"Playdius, Plug In Digital","['Action', 'Adventure', 'Indie', 'Racing']",19.99,"Midgar Studio,Fusty Game",2017-05-31
Game Troopers SL,"['Action', 'Casual', 'Indie']",5.99,"Starloop Studios SL,Kukouri",2017-05-31
Barrel Roll Games,"['Action', 'Casual', 'Indie', 'Early Access']",14.99,Barrel Roll Games,2017-05-31
Bethesda Softworks,['Free to Play'],Free to Play,Dire Wolf Digital,2017-05-31
Alessandro Guzzo,"['Adventure', 'Indie']",11.99,Alessandro Guzzo,2017-09-13
EnsenaSoft,"['Action', 'Racing', 'Early Access']",4.99,EnsenaSoft,2017-05-30
XField Paintball SAS,"['Action', 'Indie', 'Simulation', 'Sports']",9.99,XField Paintball SAS,2017-05-30
Good Shepherd Entertainment,"['Adventure', 'Indie', 'Simulation']",3.99,Vile Monarch,2017-05-31
Kingdom Games,['Casual'],9.99,Kingdom Games,2017-05-30
Kether Studio,"['Action', 'Casual', 'Indie']",0.99,Kether Studio,2017-05-05
Blindflug Studios AG,"['Action', 'Indie', 'Strategy']",11.99,Blindflug Studios AG,2017-05-31
Milestone S.r.l.,"['Racing', 'Simulation', 'Sports']",Free,Milestone S.r.l.,2017-05-31
Blindflug Studios AG,['Indie'],2.99,Michel Barengo,2017-05-30
Hart Laboratories LLC,"['Casual', 'Indie', 'Strategy']",4.99,Hart Laboratories LLC,2017-05-30
RealityArts Studio,"['Action', 'Casual', 'Indie', 'Early Access']",9.99,RealityArts Studio,2017-05-31
Norven Games,"['Adventure', 'Casual', 'Indie', 'Strategy']",0.99,Norven Games,2017-05-30
Tanki Online Europe Ltd.,"['Action', 'Free to Play', 'Massively Multiplayer']",24.99,AlternativaPlatform,2017-05-30
Psilocybe Games,"['Action', 'Adventure', 'Indie']",4.99,Psilocybe Games,2017-05-30
2K,"['Action', 'Adventure']",14.99,Hangar 13,2017-05-30
MAGIX Software GmbH,"['Audio Production', 'Video Production']",49.99,MAGIX Software GmbH,2017-05-29
RuVN,"['Adventure', 'Casual', 'Free to Play', 'Indie']",Free To Play,Emanon Studios,2017-05-29
Elbaite,"['Action', 'Indie']",14.99,Elbaite,2017-05-29
ACE MADDOX,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']",15.99,ACE MADDOX,2017-05-29
Jenei Edmond,"['Action', 'Indie', 'Simulation', 'Sports']",14.99,Jenei Edmond,2017-05-29
VRS,"['Action', 'Casual', 'Indie', 'Strategy']",0.99,G.Malta,2017-05-26
Atriagames,"['Indie', 'Sports']",1.99,Flying. Stone. Production,2017-05-29
Goblinz Studio,"['Adventure', 'Indie', 'RPG', 'Strategy']",Free to Play,Goblinz Studio,2017-05-29
QuickSave,"['Action', 'Indie', 'RPG']",3.99,QuickSave,2017-05-29
QuickSave,"['Action', 'Adventure', 'Indie']",0.99,QuickSave,2017-05-29
Dincicode,"['Action', 'Adventure', 'Indie', 'Strategy']",4.99,Dincicode,2017-05-29
Garden Shed Studios,"['Action', 'Adventure', 'Indie', 'RPG']",9.99,Garden Shed Studios,2017-05-26
DRUNKEN APES,"['Action', 'Casual', 'Indie']",2.99,DRUNKEN APES,2017-05-26
LongYou Game,"['Indie', 'Simulation', 'Strategy', 'Early Access']",9.99,LongYou Game,2017-05-26
Gameplay Ltd.,"['Action', 'Adventure', 'Indie']",1.99,Gameplay Ltd.,2017-06-01
Enjoy Games,"['Action', 'Indie']",3.99,Quad Damage Games,2017-05-27
Phantomisreal Ltd.,"['Adventure', 'Indie', 'RPG', 'Early Access']",24.99,Phantomisreal Ltd.,2017-05-28
Bail! Enemy Jet!,"['Action', 'Sports', 'Strategy', 'Early Access']",14.99,Bail! Enemy Jet!,2017-05-27
Kyle Seeley,"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']",4.99,Kyle Seeley,2017-05-26
Atriagames,"['Adventure', 'Indie']",2.99,Anatoliy Loginovskikh,2017-05-26
"War Hungry Games, KISS ltd","['Action', 'Adventure', 'Indie', 'Strategy']",7.99,"Wayne Jackson,Jason Mallett,Colin Wren",2017-05-26
Grey Box,['Adventure'],29.99,"Tequila Works,QLOC",2017-05-26
Bitbox Ltd.,"['Indie', 'Simulation', 'Strategy']",24.99,Mindillusion,2017-05-26
Goldbar Games,"['Adventure', 'Casual', 'Free to Play', 'Indie']",Free To Play,Goldbar Games,2017-05-26
Klingelhöfer &amp; Schlüter GbR,"['Action', 'Indie']",4.99,Klingelhöfer &amp; Schlüter GbR,2017-05-26
Vulpine Music,"['Casual', 'Indie', 'RPG', 'Strategy']",4.99,yuzuki,2017-05-25
Kitsune Games,"['Casual', 'Indie', 'RPG', 'Strategy']",14.99,Kitsune Games,2017-05-25
N3V Games,['Simulation'],14.99,N3V Games,2017-05-25
Magic Dungeon Studio,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",4.99,Magic Dungeon Studio,2017-05-25
Functional Unicorn Entertainment,"['Adventure', 'Casual', 'Indie', 'Strategy']",4.99,Digital Future Lab,2017-05-25
Gun Media,['Action'],39.99,IllFonic,2017-05-26
Galdor Studios,"['Action', 'Indie', 'Strategy', 'Early Access']",19.99,Galdor Studios,2017-05-24
Summer Media,"['Action', 'Adventure', 'Indie']",3.99,Summer Media,2017-05-24
Atriagames,"['Casual', 'Indie']",0.99,SharkGame,2017-05-25
MassDiGI,"['Action', 'Adventure', 'Casual', 'Indie', 'Strategy']",4.99,MassDiGI,2017-05-24
FeelThere,"['Indie', 'Simulation']",19.99,FeelThere,2017-05-25
Polygon Art,"['Action', 'Indie']",7.99,Polygon Art,2017-05-25
Craneballs,"['Action', 'Adventure', 'Indie', 'Simulation', 'Early Access']",19.99,Craneballs,2017-05-25
Nodbrim Interactive,"['Adventure', 'Indie', 'RPG', 'Strategy']",14.99,Nodbrim Interactive,2016-02-25
JoyBits Ltd.,"['Casual', 'Indie', 'Simulation']",5.99,JoyBits Ltd.,2017-05-25
SEGA,['Action'],19.99,"PlatinumGames,Little Stone Software",2017-05-25
3BLACKDOT,"['Action', 'Adventure', 'Indie', 'Strategy']",14.99,Section Studios,2015-08-03
Happy Badger Studio,"['Action', 'Adventure', 'Indie', 'Racing', 'Sports']",14.99,Happy Badger Studio,2017-05-23
The Ninth Art,"['Massively Multiplayer', 'RPG', 'Strategy']",Free To Play,The Ninth Art,2017-05-23
Gamera Interactive,"['Action', 'Indie']",14.99,Gamera Interactive,2017-05-24
Dovetail Games,['Simulation'],4.99,Matrix Trains,2017-05-24
Dovetail Games,['Simulation'],4.99,Matrix Trains,2017-05-24
The Yogscast,"['Action', 'Adventure', 'Indie']",9.99,Rupeck Games,2017-05-24
Dovetail Games,['Simulation'],4.99,Matrix Trains,2017-05-24
Dovetail Games,['Simulation'],4.99,Matrix Trains,2017-05-24
The Yogscast,"['Action', 'Adventure', 'Indie']",1.99,Rupeck Games,2017-05-24
505 Games,"['RPG', 'Simulation', 'Strategy']",9.99,Sproing,2017-02-09
Frismos,"['Casual', 'Indie', 'Simulation', 'Strategy']",4.99,Frismos,2017-01-05
gsmpcgame,"['Casual', 'Indie', 'Simulation', 'Sports', 'Strategy']",9.99,"gsmpcgame,globalsoccermanager,Andrea Hochstein",2017-05-24
Siberian Digital,"['Action', 'Casual', 'Indie']",0.99,"PowPow,Glitch Dealers",2017-05-24
Khundar,"['Action', 'Indie']",3.99,Khundar,2017-05-23
"NIS America, Inc.",['Simulation'],Free,"ARC SYSTEM WORKS Co., Ltd.,TOYBOX Inc.",2017-05-23
Paradox Interactive,"['Action', 'Simulation', 'Strategy']",39.99,Eugen Systems,2017-05-23
"KOEI TECMO GAMES CO., LTD.",['Action'],49.99,"KOEI TECMO GAMES CO., LTD.",2017-05-23
HeR Interactive,['Adventure'],9.99,HeR Interactive,2001-08-20
BANDAI NAMCO Entertainment,"['Adventure', 'Indie', 'Simulation']",19.99,Mojo Bones,2017-05-22
Varia Games,"['Action', 'Indie', 'RPG']",9.99,Varia Games,2017-05-22
GameHouse,"['Adventure', 'Casual', 'Indie', 'Simulation']",2.99,Blue Giraffe,2017-05-23
"Act 3 Games, LLC","['Adventure', 'Indie']",9.99,"Act 3 Games, LLC",2017-05-23
Craig Daversa,"['Action', 'Adventure', 'Casual', 'Indie', 'Strategy']",4.99,Craig Daversa,2017-05-19
GameHouse,"['Adventure', 'Casual', 'Indie', 'Simulation']",12.99,Blue Giraffe,2017-05-23
The Selenite Forge,"['Indie', 'Strategy']",14.99,The Selenite Forge,2017-05-19
AVP,"['Adventure', 'Casual', 'Indie', 'Early Access']",0.99,AVP,2017-05-21
Indie Games Studio,"['Action', 'Adventure', 'Indie', 'RPG']",1.99,Indie Games Studio,2017-05-21
FreezeNova,"['Action', 'Indie']",0.99,FreezeNova,2017-05-21
Gameforge 4D GmbH,"['Action', 'Adventure', 'Free to Play', 'Sports', 'Strategy']",119.99,"Dragonfly GF Co., LTD",2017-05-22
FeelThere,"['Indie', 'Simulation']",9.99,FeelThere,2017-05-22
Kalypso Media Digital,['Strategy'],5.99,Fireglow,2002-08-30
Kalypso Media Digital,['Strategy'],5.99,Fireglow,2001-01-24
Sparkypants Studios LLC,"['Action', 'Free to Play', 'Strategy']",9.99,Sparkypants Studios LLC,2017-05-22
Kalypso Media Digital,['Strategy'],5.99,Fireglow,2007-12-07
Netcore Games,"['Casual', 'Indie', 'RPG']",5.99,NCR Games,2017-05-19
Sindiecate Arts,"['Action', 'Indie']",6.99,Brainwash Gang,2017-05-19
Sindiecate Arts,"['Action', 'Indie']",3.99,Brainwash Gang,2017-05-19
BefuddleBug,"['Indie', 'Simulation', 'Strategy', 'Early Access']",4.99,BefuddleBug,2017-05-19
Endless Loop Studios,"['Action', 'Adventure', 'Indie']",4.99,Endless Loop Studios,2017-05-19
KISS ltd,"['Adventure', 'Casual', 'Indie']",5.99,Holdbrand Ltd,2017-05-19
Positech Games,"['Indie', 'Simulation', 'Strategy', 'Early Access']",17.99,Positech Games,2017-05-18
SteelRaven7,"['Action', 'Indie', 'Early Access']",14.99,SteelRaven7,2017-05-18
Dovetail Games,"['Simulation', 'Early Access']",24.99,Dovetail Games,2017-05-18
Artifex Mundi,"['Adventure', 'Casual']",9.99,Brave Giant LTD,2017-05-18
505Games,"['Indie', 'Racing', 'Simulation', 'Sports']",7.99,Kunos Simulazioni,2017-05-18
Cat Nigiri,"['Action', 'Indie']",4.99,Cat Nigiri,2017-08-31
Holotech Studios,"['Animation &amp; Modeling', 'Video Production']",299.99,Holotech Studios,2017-05-17
Dovetail Games,['Simulation'],4.99,Bossman Games,2017-05-17
Happy Robot Games,"['Action', 'Indie']",5.99,Happy Robot Games,2017-05-17
ANPA.US,"['Action', 'Indie']",1.99,Racing Bros,2017-05-17
Focus Home Interactive,"['Action', 'RPG']",2.99,Deck13,2017-05-15
Luxorix Games,"['Action', 'Adventure', 'Indie', 'RPG']",9.99,Luxorix Games,2017-05-17
"KOEI TECMO GAMES CO., LTD.",['Action'],19.99,"Team NINJA,KOEI TECMO GAMES CO., LTD.",2017-05-15
Surf Monster Studio,"['Action', 'Casual', 'Indie', 'Early Access']",3.99,"Surf Monster Studio,Kinn Chen,Vicky,Chih-Hsuan Huang",2017-05-15
Aerosoft GmbH,['Simulation'],29.99,Jo Erlend Sund,2017-05-16
Tephra,"['Adventure', 'Indie', 'Early Access']",8.99,Tephra Company,2017-05-15
Bohemia Interactive,"['Action', 'Simulation', 'Strategy']",11.99,Bohemia Interactive,2017-05-16
Darewise Entertainment,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy', 'Early Access']",24.99,Nvizzio Creations,2017-05-16
"NIS America, Inc.",['RPG'],4.99,"MAGES. Inc.,5pb.,Experience Inc.",2017-05-16
Interplay Entertainment Corp.,"['Action', 'Adventure', 'Simulation']",9.99,Xatrix Entertainment,1994-01-01
净土制作室,"['Adventure', 'Casual', 'Indie']",14.99,Salvation,2017-05-17
Broken Rules,"['Adventure', 'Casual', 'Indie']",7.99,Broken Rules,2017-05-17
Illwinter Game Design,"['Design &amp; Illustration', 'Utilities', 'Early Access']",4.99,Illwinter Game Design,2017-05-18
Dovetail Games - Trains,['Simulation'],39.99,Virtual New Haven Railroad,2017-05-18
Aerosoft GmbH,['Simulation'],29.99,"Sim-wings,Aerosoft GmbH",2017-05-18
Nomad Games,['Strategy'],3.99,Nomad Games,2017-05-18
Klabater,"['Indie', 'RPG', 'Strategy']",24.99,Pixelated Milk,2017-05-18
Alawar Premium,"['Adventure', 'Indie', 'Strategy']",3.99,Warm Lamp Games,2017-05-18
"NIS America, Inc.",['RPG'],4.99,"MAGES. Inc.,5pb.,Experience Inc.",2017-05-16
"NIS America, Inc.",['RPG'],39.99,"MAGES. Inc.,5pb.,Experience Inc.",2017-05-16
Interplay Entertainment Corp.,['Casual'],19.99,Digital Theory Ltd.,2017-05-15
Trion Worlds,"['Free to Play', 'Massively Multiplayer', 'RPG']",29.99,Trion Worlds,2017-05-15
Digital Tribe,"['Adventure', 'Casual', 'Indie']",2.99,Liquid Flower,2017-05-15
Focus Home Interactive,"['Action', 'RPG']",39.99,Deck13,2017-05-15
9 Eyes Game Studio,"['Adventure', 'Indie']",2.99,9 Eyes Game Studio,2017-05-12
Choice of Games,"['Adventure', 'Indie', 'RPG']",4.99,Choice of Games,2014-12-12
rokaplay,['Casual'],6.99,rokaplay,2017-05-12
DEVGRU-P,"['Adventure', 'Indie', 'RPG']",9.99,DEVGRU-P,2017-05-11
Choice of Games,"['Adventure', 'Indie', 'RPG']",3.99,Choice of Games,2014-05-16
Tomatotrap,"['Action', 'Casual', 'Indie']",5.99,Tomatotrap,2017-05-11
The Sleeping Machine,"['Adventure', 'Casual', 'Indie']",4.99,Cockroach Inc.,2017-05-11
Artees,"['Indie', 'RPG', 'Early Access']",4.99,"Artees,Trizton,Will Goss",2017-05-11
xrrawva,"['Action', 'Adventure', 'Indie']",Free,xrrawva,2017-05-11
Nullray Gaming,"['Indie', 'RPG', 'Simulation', 'Early Access']",10.99,Nullray Gaming,2017-05-11
Teamomega,"['Adventure', 'Casual', 'Indie']",0.99,Teamomega,2017-05-10
Aerosoft GmbH,['Simulation'],24.99,Omar Masroor,2017-05-12
34BigThings srl,['Racing'],7.99,34BigThings srl,2017-05-12
Paleno Games,"['Casual', 'Indie']",0.99,Paleno Games,2017-05-12
Light Bringer Games inc.,"['Action', 'Casual', 'Free to Play', 'Indie', 'Simulation', 'Strategy']",Free To Play,Light Bringer Games inc.,2016-02-19
izzYFoxDev,"['Action', 'Adventure', 'Indie', 'Simulation', 'Sports', 'Early Access']",1.99,"izzYFoxDev,Panda2U",2017-05-12
Sekai Project,"['Casual', 'Indie']",9.99,Life a Little,2017-05-12
Warfare Studios,"['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",3.99,Warfare Studios,2017-05-12
Jollyfish Games,"['Action', 'Indie', 'Early Access']",4.99,Jollyfish Games,2017-05-14
ANPA.US,"['Action', 'Indie']",2.99,Racing Bros,2017-05-15
TopWare Interactive,['RPG'],7.99,Reality Pump Studios,2017-05-15
TopWare Interactive,['RPG'],2.99,Reality Pump Studios,2017-05-15
TopWare Interactive,"['Action', 'Adventure', 'RPG']",6.99,TopWare Interactive,2017-05-15
Paper Cult,"['Action', 'Indie']",9.99,Paper Cult,2017-05-15
Apar Games,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access']",8.99,Apar Games,2017-05-12
IzHard,"['Adventure', 'Indie']",7.99,IzHard,2017-05-12
IzHard,"['Adventure', 'Indie']",2.99,"Brokenkites,IzHard",2017-05-12
TopWare Interactive,"['Action', 'Adventure', 'RPG']",6.99,TopWare Interactive,2017-05-15
Tlakali Game Studio,"['Action', 'Casual', 'Indie']",9.99,Tlakali Game Studio,2017-05-11
rokaplay,['Casual'],6.99,rokaplay,2017-05-11
Stardock,['Utilities'],4.99,Stardock,2017-05-11
Michaela Laws,"['Adventure', 'Indie', 'Strategy']",15.99,"Michaela Laws,Ethan Nakashima",2017-05-11
rokaplay,['Casual'],6.99,rokaplay,2017-05-10
Abbey Games,"['Adventure', 'Indie', 'RPG', 'Strategy']",7.49,Abbey Games,2017-05-10
"LEVER Software, Enjoy Games","['Action', 'Adventure', 'Indie', 'Simulation']",2.99,Nuostak,2016-06-29
"NIS America, Inc.",['Simulation'],Free,"ARC SYSTEM WORKS Co., Ltd.,TOYBOX Inc.",2017-05-10
GAMES FOR HUMANS,['Indie'],0.99,GAMES FOR HUMANS,2017-05-10
"Acoustica, Inc.","['Audio Production', 'Utilities', 'Video Production']",49.99,"Acoustica, Inc.",2017-05-08
Rebellion,['Action'],3.99,Rebellion,2017-05-11
Rebellion,['Action'],9.99,Rebellion,2017-05-11
Badim,"['Indie', 'RPG', 'Strategy']",2.99,Badim,2017-05-10
Rebellion,['Action'],0.99,Rebellion,2017-05-11
Rebellion,['Action'],4.99,Rebellion,2017-05-11
Rebellion,['Action'],0.99,Rebellion,2017-05-11
Rebellion,['Action'],3.99,Rebellion,2017-05-11
Rebellion,['Action'],0.99,Rebellion,2017-05-11
Rebellion,['Action'],3.99,Rebellion,2017-05-11
Rebellion,['Action'],0.99,Rebellion,2017-05-11
Rebellion,['Action'],0.99,Rebellion,2017-05-11
Rebellion,['Action'],0.99,Rebellion,2017-05-11
Rebellion,['Action'],0.99,Rebellion,2017-05-11
Rebellion,['Action'],0.99,Rebellion,2017-05-11
Rebellion,['Action'],0.99,Rebellion,2017-05-11
Rebellion,['Action'],0.99,Rebellion,2017-05-11
Rebellion,['Action'],0.99,Rebellion,2017-05-11
Rebellion,['Action'],0.99,Rebellion,2017-05-11
Rebellion,['Action'],0.99,Rebellion,2017-05-11
Rebellion,['Action'],0.99,Rebellion,2017-05-11
Rebellion,['Action'],0.99,Rebellion,2017-05-11
CodeBullet,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Early Access']",14.99,CodeBullet,2017-05-10
Devolver Digital,"['Indie', 'Simulation', 'Strategy']",14.99,Plethora-Project LLC,2017-05-10
Rebellion,['Action'],0.99,Rebellion,2017-05-11
Tencent Games,"['Adventure', 'Casual', 'Indie', 'Strategy']",4.99,Tencent Games,2017-05-10
DimleTeam,"['Adventure', 'Indie']",8.99,DimleTeam,2017-05-10
Aerosoft GmbH,['Simulation'],14.99,BusTrainz,2017-05-11
CCP,"['Free to Play', 'Massively Multiplayer', 'RPG']",9.99,CCP,2017-05-09
CCP,"['Free to Play', 'Massively Multiplayer', 'RPG']",19.99,CCP,2017-05-09
CCP,"['Free to Play', 'Massively Multiplayer', 'RPG']",39.99,CCP,2017-05-09
CCP,"['Free to Play', 'Massively Multiplayer', 'RPG']",99.99,CCP,2017-05-09
CCP,"['Free to Play', 'Massively Multiplayer', 'RPG']",4.99,CCP,2017-05-09
CCP,"['Free to Play', 'Massively Multiplayer', 'RPG']",249.99,CCP,2017-05-09
CCP,"['Free to Play', 'Massively Multiplayer', 'RPG']",499.99,CCP,2017-05-09
Big Fish Games,"['Adventure', 'Casual']",9.99,Mad Head Games,2017-05-05
Green Moss Game,"['Adventure', 'Casual', 'Indie', 'Early Access']",4.99,Green Moss Game,2017-04-28
StevenHarmonGames,['Indie'],Free,StevenHarmonGames,2017-05-05
SC Jogos,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Early Access']",2.9699999999999998,SC Jogos,2017-05-05
Sekai Project,"['Casual', 'Indie']",2.99,ebi-hime,2017-05-05
Sekai Project,"['Casual', 'Indie']",0.99,ebi-hime,2017-05-05
FeelThere,"['Indie', 'Simulation']",9.99,FeelThere,2017-05-05
Solid Patterns,"['Action', 'Free to Play', 'Indie', 'Early Access']",Free To Play,Solid Patterns,2017-05-05
Kongregate,"['Adventure', 'Free to Play', 'RPG', 'Strategy']",Free to Play,"Synapse Games,Chinzilla",2017-05-05
Digerati Distribution,"['Action', 'Indie']",4.99,Nerdook Productions,2017-05-05
Borokai Studio,"['Adventure', 'Indie', 'Simulation']",4.99,Borokai Studio,2017-05-26
NCH Software,"['Design &amp; Illustration', 'Photo Editing']",49.99,NCH Software,2017-05-05
Absorbed Studios,"['Adventure', 'Free to Play', 'Indie']",Free To Play,Absorbed Studios,2017-05-05
Ardi Studio,"['Action', 'Adventure', 'Indie']",0.99,Ardi Studio,2017-05-05
Aldorlea Games,"['Adventure', 'Casual', 'Indie', 'RPG']",3.99,Warfare Studios,2017-05-05
Curve Digital,"['Adventure', 'Indie']",4.99,No Brakes Games,2017-05-08
David Schneider,"['Casual', 'Indie']",4.99,David Schneider,2017-05-08
Casioqu,"['Casual', 'Indie']",0.99,Casioqu,2017-05-08
"KOEI TECMO GAMES CO., LTD.",['RPG'],1.99,"KOEI TECMO GAMES CO., LTD.",2017-05-08
"KOEI TECMO GAMES CO., LTD.",['RPG'],6.99,"KOEI TECMO GAMES CO., LTD.",2017-05-08
"KOEI TECMO GAMES CO., LTD.",['RPG'],1.99,"KOEI TECMO GAMES CO., LTD.",2017-05-08
"KOEI TECMO GAMES CO., LTD.",['RPG'],1.99,"KOEI TECMO GAMES CO., LTD.",2017-05-08
"KOEI TECMO GAMES CO., LTD.",['RPG'],1.99,"KOEI TECMO GAMES CO., LTD.",2017-05-08
"Mad Dog Games, LLC",['Sports'],19.99,Saber Interactive,2017-05-08
"KOEI TECMO GAMES CO., LTD.",['RPG'],1.99,"KOEI TECMO GAMES CO., LTD.",2017-05-08
"KOEI TECMO GAMES CO., LTD.",['RPG'],1.99,"KOEI TECMO GAMES CO., LTD.",2017-05-08
RCG,"['Action', 'Casual', 'Indie']",Free,MyST,2017-05-09
bch waves studio,"['Adventure', 'Casual']",4.99,bch waves studio,2017-05-08
RCG,"['Action', 'Casual', 'Indie']",0.99,"RCG,MyST",2017-05-09
Brantisky Interactive,"['Action', 'Indie', 'Early Access']",8.99,Brantisky Interactive,2017-05-07
KAMAi MEDIA,"['Adventure', 'Indie', 'Simulation', 'Early Access']",3.99,KAMAi MEDIA,2017-05-09
VisualArts,"['Adventure', 'Casual', 'Simulation']",9.99,VisualArts/Key,2017-05-08
Michael Klaus Schmidt,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Early Access']",4.99,Michael Klaus Schmidt,2017-05-08
Rain Games,"['Action', 'Adventure', 'Indie', 'RPG']",1.99,Rain Games,2017-05-05
Gameforge 4D GmbH,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",Free to Play,WEBZEN Inc.,2006-12-17
ANPA.US,"['Action', 'Adventure', 'Indie', 'Simulation']",4.99,Racing Bros,2017-05-08
2Chance Projects,"['Adventure', 'Casual', 'Indie']",1.99,"2Chance Projects,IIchan Eroge Team,DjSM",2017-05-08
Octopus Tree,"['Casual', 'Indie', 'Simulation', 'Early Access']",14.99,TouchTilt Games,2017-05-04
Akimbo Creations,"['Action', 'Adventure', 'Indie']",9.99,Akimbo Creations,2017-01-10
Plug In Digital,"['Indie', 'Strategy']",4.99,Strategiae,2017-05-04
Plug In Digital,"['Indie', 'Strategy']",14.99,Strategiae,2017-05-04
Plug In Digital,"['Indie', 'Strategy']",9.99,Strategiae,2017-05-04
Plug In Digital,"['Indie', 'Strategy']",9.99,Strategiae,2017-05-04
Plug In Digital,"['Indie', 'Strategy']",4.99,Strategiae,2017-05-04
Plug In Digital,"['Indie', 'Strategy']",4.99,Strategiae,2017-05-04
Plug In Digital,"['Indie', 'Strategy']",4.99,Strategiae,2017-05-04
Plug In Digital,"['Indie', 'Strategy']",9.99,Strategiae,2017-05-04
Plug In Digital,"['Indie', 'Strategy']",4.99,Strategiae,2017-05-04
Plug In Digital,"['Indie', 'Strategy']",4.99,Strategiae,2017-05-04
Plug In Digital,"['Indie', 'Strategy']",4.99,Strategiae,2017-05-04
Plug In Digital,"['Indie', 'Strategy']",4.99,Strategiae,2017-05-04
Plug In Digital,"['Indie', 'Strategy']",4.99,Strategiae,2017-05-04
Plug In Digital,"['Indie', 'Strategy']",4.99,Strategiae,2017-05-04
Plug In Digital,"['Indie', 'Strategy']",4.99,Strategiae,2017-05-04
Valve,"['Action', 'Free to Play']",12.99,Valve,2017-05-04
MoFunZone Inc,"['Casual', 'Indie', 'Racing', 'Simulation', 'Sports']",3.99,"Wix Games,MAD.com",2017-05-04
Coconut Island Games,"['Action', 'Indie']",11.99,Coconut Island Studio,2017-05-05
Xelphyre Games,"['Action', 'Indie']",3.99,Xelphyre Games,2017-05-04
Aerosoft GmbH,['Simulation'],19.99,Aerosoft GmbH,2017-05-05
